Category,Name,Price
Hot Drinks,Espresso,3.70
Hot Drinks,Americano,3.70
Hot Drinks,Latte,4.05
Hot Drinks,Cappuccino,4.05
Hot Drinks,Flat White,3.95
Hot Drinks,Mocha,4.30
Hot Drinks,Hot Chocolate,4.20
Hot Drinks,Tea,3.00
Hot Drinks,Speciality Tea,3.35
Hot Drinks,Bovril,3.20
Hot Food,Bacon Bap,6.50
Hot Food,Sausage Bap,6.50
Hot Food,Bacon and Sausage Bap,9.50
Hot Food,Sausage Roll,2.50
Soft Drinks,Coke,2.75
Soft Drinks,Diet Coke,2.75
Soft Drinks,Sprite,2.75
Soft Drinks,Fanta,2.75
Soft Drinks,7 Up Zero,2.75
Soft Drinks,Orange Juice,2.75
Soft Drinks,Lucozade,2.75
Soft Drinks,Still or Sparkling Water,1.50
Beers and Spirits,Cruzcampo,5.25
Beers and Spirits,San Miguel 0.0,4.25
Beers and Spirits,Hazy Hog Cider,6.50
Beers and Spirits,Brandy,4.75
Beers and Spirits,Whisky,4.75
Snacks,Eat Natural Bar,2.50
Snacks,Flapjack Bar,2.50
Snacks,Chocolate Bar,1.50
Snacks,Fruit,1.00
Snacks,Cake,2.50
